location,new_cases,new_deaths,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,DaysTotal_Days
Hungary,4078,567,56.9074528301887,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.295999999999,7.54999999999999,26.8,34.8000000000001,,7.01999999999999,106
Iceland,1812,10,29.1335882352941,341250,3.404,37.3000000000001,14.431,9.20700000000003,46482.9579999999,0.2,117.992,5.30999999999998,14.3,15.2,,2.91000000000001,170
India,354065,11903,52.25,1380004385,450.419,28.1999999999999,5.98900000000001,3.41399999999999,6426.674,21.1999999999999,282.279999999999,10.39,1.9,20.5999999999999,59.55,0.530000000000001,169
Indonesia,40400,2231,43.1042331288344,273523621,145.725,29.3000000000001,5.31899999999999,3.053,11188.744,5.70000000000002,342.864000000001,6.32000000000002,2.80000000000001,76.1000000000002,64.2039999999999,1.04,163
Iran,192439,9065,33.6058235294117,83992953,49.8310000000001,32.3999999999999,5.44000000000002,3.18200000000001,19082.6200000001,0.2,270.308,9.58999999999998,0.799999999999999,21.0999999999999,,1.5,170
Iraq,22700,712,57.0390476190476,40222503,88.125,20,3.18599999999999,1.957,15663.986,2.5,218.612,8.82999999999999,,,94.5759999999996,1.4,168
Ireland,25334,1709,46.8225443786982,4937796,69.8739999999998,38.6999999999999,13.928,8.67800000000003,67335.2929999998,0.2,126.459,3.27999999999999,23,25.6999999999999,,2.95999999999999,169
Isle of Man,336,24,0,85032,147.872,,,,,,,,,,,,89
Israel,19637,303,45.3752352941176,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.3199999999998,6.74000000000001,15.4,35.3999999999999,,2.99000000000001,170
Italy,237500,34405,52.718705882353,60461828,205.859,47.8999999999999,23.0210000000001,16.2399999999999,35220.0839999999,2,113.151,4.77999999999998,19.8000000000001,27.8000000000001,,3.18,170
Jamaica,621,10,77.4349484536082,2961161,266.879000000001,31.4,9.68399999999999,6.38999999999999,8193.571,1.8,206.537,11.28,5.30000000000001,28.5999999999999,66.4250000000001,1.7,97
Japan,17628,931,29.5202352941176,126476458,347.777999999999,48.1999999999999,27.049,18.493,39002.2230000001,0.2,79.3700000000003,5.72000000000002,11.2,33.6999999999999,,13.05,170
Jersey,316,30,0,101073,,,,,,,,,,,,,90
Jordan,981,9,76.1457731958762,10203140,109.285,23.2,3.81,2.361,8337.48999999999,0.1,208.257,11.75,,,,1.4,97
Kazakhstan,15542,88,79.8808247422681,18776707,6.681,30.5999999999999,6.99099999999999,4.625,24055.588,0.1,466.792000000001,7.11000000000001,7,43.0999999999999,98.9989999999998,6.7,97
Kenya,3860,105,76.7469230769233,53771300,87.3239999999999,20,2.686,1.528,2993.028,36.8000000000001,218.637,2.92,1.2,20.4,24.651,1.4,104
Kosovo,1486,33,81.9534042553192,1932774,168.155,,,,9795.83400000001,0.600000000000001,,,,,,,94
Kuwait,36958,303,50.8879041916168,4270563,232.128,33.6999999999999,2.34500000000001,1.114,65530.5369999999,,132.235,15.84,2.69999999999999,37,,2,167
Kyrgyzstan,2562,30,73.7081318681319,6524191,32.333,26.3,4.48899999999999,2.882,3393.47399999999,1.4,436.362,7.11000000000001,3.6,50.5,89.2200000000001,4.5,91
Laos,19,0,70.5358823529413,7275556,29.715,24.4,4.029,2.322,6397.35999999999,22.7,368.111000000001,4,7.3,51.1999999999999,49.839,1.5,85
Latvia,1098,28,0,1886202,31.212,43.9,19.754,14.136,25063.8459999999,0.700000000000001,350.06,4.91000000000001,25.5999999999999,51,,5.57,110
Lebanon,1473,32,48.5228313253011,6825442,594.561000000001,31.1,8.51399999999998,5.42999999999998,13367.565,0,266.591,12.71,26.9,40.6999999999999,,2.89999999999999,166
Lesotho,4,0,45.6176470588235,2142252,73.5619999999999,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,34
Liberia,509,33,69.4433333333334,5057677,49.127,19.2,3.057,1.756,752.788,38.5999999999999,272.508999999999,2.42,1.5,18.1,1.188,0.799999999999999,93
Libya,467,10,82.3529411764705,6871287,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.69999999999999,85
Liechtenstein,83,1,0,38137,237.012,,,,,,,7.76999999999999,,,,2.397,99
Lithuania,1776,76,42.8655294117647,2722291,45.1350000000002,43.5,19.002,13.778,29524.265,0.700000000000002,342.989000000001,3.67,21.3000000000001,38,,6.55999999999997,170
Luxembourg,4075,110,36.5655214723927,625976,231.447,39.6999999999999,14.3119999999999,9.84200000000003,94277.9649999999,0.2,128.275,4.41999999999999,20.9000000000001,26,,4.50999999999999,163
Macedonia,4289,201,0,2083380,82.6000000000002,39.1000000000001,13.26,8.16000000000001,13111.214,5,322.688,10.08,,,,4.27999999999998,161
Madagascar,1317,12,65.3026966292135,27691019,43.951,19.6,2.929,1.686,1416.44,77.6000000000001,405.994,3.94,,,50.54,0.2,89
Malawi,564,6,52.0967105263158,19129955,197.519,18.1,2.97900000000001,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.70399999999999,1.3,76
Malaysia,8505,121,44.6721176470588,32365998,96.2540000000004,29.9,6.293,3.407,26808.164,0.1,260.942,16.7399999999999,1,42.3999999999999,,1.9,170
Maldives,2094,8,0,540542,1454.433,30.5999999999999,4.12,2.875,15183.616,4.1,164.905,9.19000000000002,2.1,55,95.8029999999999,,100
Mali,1885,106,54.4845238095238,20250834,15.196,16.4,2.519,1.486,2014.306,47.8,268.024,2.42,1.6,23,52.232,0.1,84
Malta,656,9,0,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83000000000002,20.9,30.2,,4.48500000000001,103
Mauritania,2057,93,68.9297894736842,4649660,4.28899999999999,20.3,3.138,1.792,3597.63299999999,6,232.347,2.42,,,15.95,,95
Mauritius,337,10,74.1057777777777,1271767,622.962,37.4000000000001,10.945,5.884,20292.745,0.5,224.644,22.02,3.19999999999999,40.6999999999999,,3.4,90
Mexico,154863,18310,37.9399999999999,128932753,66.444,29.3000000000001,6.85699999999999,4.32100000000002,17336.469,2.5,152.783,13.06,6.9,21.4000000000001,87.8469999999999,1.38,170
Moldova,12254,423,79.1505000000002,4033963,123.655,37.5999999999999,10.864,6.95500000000001,5189.97200000001,0.2,408.502,5.72000000000002,5.89999999999999,44.6,86.9790000000001,5.8,100
Monaco,99,5,0,39244,19347.5,,,,,,,5.46000000000001,,,,13.8,158
Mongolia,197,0,60.528085106383,3278292,1.98,28.5999999999999,4.03100000000001,2.421,11840.846,0.5,460.043,4.81999999999999,5.5,46.5,71.1800000000001,7,94
Montenegro,326,9,0,628062,46.2800000000001,39.0999999999999,14.762,9.39499999999999,16409.288,1,387.305,10.08,44,47.9,,3.86099999999999,92
Montserrat,11,1,0,4999,,,,,,,,,,,,,88
Morocco,8921,212,62.788787878788,36910558,80.0799999999999,29.5999999999999,6.76900000000001,4.209,7485.01300000001,1,419.146,7.13999999999999,0.799999999999998,47.1000000000001,,1.1,132
Mozambique,638,4,56.0871264367816,31255435,37.728,17.7,3.15799999999999,1.87,1136.103,62.9,329.941999999999,3.30000000000001,5.10000000000001,29.1,12.227,0.700000000000001,87
Myanmar,262,6,62.495287356322,54409794,81.7209999999998,29.1,5.73200000000001,3.12,5591.59700000001,6.39999999999999,202.104,4.61000000000001,6.3,35.2,79.287,0.9,87
