location,new_cases,new_deaths,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,DaysTotal_Days
Somalia,2658,88,49.7841935483871,15893219,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.83100000000001,0.9,93
South Africa,76334,1625,53.7742424242425,59308690,46.7539999999999,27.3000000000001,5.34400000000001,3.053,12294.876,18.9,200.38,5.51999999999999,8.10000000000001,33.1999999999999,43.9930000000001,2.31999999999999,132
South Korea,12198,279,41.0191764705883,51269183,527.967,43.3999999999999,13.914,8.62200000000001,35938.3739999999,0.2,85.9979999999997,6.79999999999998,6.20000000000002,40.8999999999999,,12.27,170
South Sudan,1776,30,77.1543835616437,11193729,,19.2,3.441,2.032,1569.888,73.3,280.775,10.43,,,,,73
Spain,244328,27136,45.4913017751479,46754783,93.1049999999997,45.5,19.436,13.799,34272.3600000001,1,99.4030000000001,7.17,27.4,31.4,,2.97000000000001,169
Sri Lanka,1915,11,47.9922360248447,21413250,341.955000000001,34.1,10.069,5.33100000000001,11669.077,0.700000000000002,197.093000000001,10.68,0.299999999999999,27,,3.60000000000001,161
Sudan,7740,477,76.2165625,43849269,23.258,19.7,3.548,2.034,4466.507,7.7,431.388,15.67,,,23.437,0.799999999999999,96
Suriname,236,6,72.1927777777778,586634,3.612,29.5999999999999,6.93299999999999,4.229,13767.119,18.8,258.314,12.54,7.39999999999999,42.9000000000001,67.7790000000002,3.1,90
Swaziland,520,4,79.883157894737,1160164,79.4920000000001,21.5,3.16300000000001,1.845,7738.97499999999,,333.436000000001,3.94,1.7,16.5,24.097,2.1,95
Sweden,53323,4939,21.2974705882353,10099270,24.7179999999999,41,19.985,13.433,46949.2829999999,0.5,133.982,4.78999999999999,18.8,18.9000000000001,,2.22000000000001,170
Switzerland,31063,1677,38.7188235294117,8654618,214.243,43.1000000000001,18.436,12.644,57410.166,0,99.7389999999998,5.59000000000001,22.5999999999999,28.9,,4.52999999999998,170
Syria,177,6,67.7417241379311,17500657,,21.7,,2.577,,21.2,376.263999999999,,,,70.598,1.5,87
Taiwan,445,7,22.4037278106509,23816775,,42.1999999999999,,8.353,,,103.957,,,,,,169
Tajikistan,5160,50,38.0416666666667,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11000000000001,,,72.7040000000001,4.8,48
Tanzania,509,21,40.5904301075269,59734213,64.6989999999999,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.30000000000001,26.7,47.953,0.700000000000001,93
Thailand,3135,58,39.9087116564417,69799978,135.132,40.1000000000001,11.373,6.89,16277.671,0.1,109.861,7.03999999999999,1.9,38.8000000000001,90.6700000000001,2.1,163
Timor,24,0,56.0101136363636,1318442,87.1760000000002,18,3.556,1.897,6570.10200000001,30.3,335.346,6.86000000000001,6.3,78.1000000000001,28.178,5.89999999999999,88
Togo,537,13,8.82489583333333,8278737,143.366,19.4,2.839,1.525,1429.813,49.1999999999999,280.033,6.14999999999999,0.900000000000001,14.2,10.475,0.700000000000001,96
Trinidad and Tobago,123,8,71.3350515463917,1399491,266.886,36.1999999999999,10.014,5.819,28763.071,0.6,228.467,10.97,,,89.4430000000001,3,97
Tunisia,1125,49,72.9185148514851,11818618,74.2280000000001,32.6999999999999,8.00099999999999,5.07499999999999,10849.297,2,318.991000000001,8.51999999999999,1.1,65.8000000000001,78.6869999999999,2.3,101
